ACCURA    Accuracy
HEAL_E    You will find ways of healing or protecting yourself the more you play the game.
HELI      Helicopter
HELIODD   Helicopter odd jobs
HELI_1    Downtown Chopper Checkpoint
HELI_1A   Test your skills with the Sparrow, see how quickly you can complete the course.
HELI_1B   Course Complete! $ ~1~
HELI_2    Ocean Beach Chopper Checkpoint
HELI_3    Vice Point Chopper Checkpoint
HELI_4    Little Haiti Chopper Checkpoint
HELI_F1   ~r~Heli Checkpoint mission cancelled!
HELP1     Stop in the center of the ~q~pink marker.
HELP10    This badge indicates you have a police wanted level.
HELP11    The more badges the higher your wanted level.
HELP12    Walk into the center of the ~q~pink marker~w~ to trigger a mission.
HELP13    Sometimes you may need to use pathways not shown on the radar.
HELP14    To find the Lawyer's office, follow the ~h~L blip~w~ on the radar
HELP15    When on foot press the ~h~~k~~PED_LOOKBEHIND~ ~w~button to ~h~look behind~w~.
HELP16    Walk through the front door of the ~h~Ocean View~w~ Hotel to enter the building.
HELP19    Walk into the ~q~pink marker ~w~to continue.
HELP21    Press the ~h~~k~~VEHICLE_ENTER_EXIT~ ~w~button to enter or exit a vehicle.
HELP22    Go to the green house blip on the radar.
HELP24    You can now take jobs from the Colonel.
HELP25    You can now take jobs from Avery Carrington.
HELP26    Press the ~h~~k~~VEHICLE_ENTER_EXIT~ ~w~button to enter or exit a vehicle.
HELP27    Press the ~h~~k~~VEHICLE_TURRETUP~~w~ button and the ~h~~k~~VEHICLE_TURRETDOWN~~w~ button, to shift your weight on a bike.
HELP28    Press the ~h~~k~~VEHICLE_TURRETUP~~w~ button and the ~h~~k~~VEHICLE_TURRETDOWN~~w~ button, to shift your weight on a bike.
HELP29    You can visit the clothes store when you're not on a mission.
HELP2A2   Press the ~h~~k~~PED_SPRINT~~w~ button when running to ~h~sprint
HELP2_A   Press the ~h~~k~~PED_SPRINT~ ~w~button when running to ~h~sprint
HELP3     You can only sprint for short periods before becoming tired.
HELP30    When you buy new clothes your wanted level will be set to zero.
HELP31    To do a drive-by, first look left or right using the ~h~~k~~VEHICLE_LOOKLEFT~~w~ or the ~h~~k~~VEHICLE_LOOKRIGHT~.
HELP32    Then fire using the ~h~~k~~PED_FIREWEAPON~ ~w~button.
HELP33    Then fire using the ~h~~k~~PED_FIREWEAPON~ ~w~button.
HELP34    You must have a sub machine gun to perform a drive-by.
HELP35    Press the ~h~~k~~GO_LEFT~~w~, and the ~h~~k~~GO_RIGHT~~w~, to steer the vehicle.
HELP36    Press the ~h~~k~~GO_LEFT~~w~, and the ~h~~k~~GO_RIGHT~~w~, to steer the vehicle.
HELP37    If you do not want to enter the vehicle while car jacking someone, press the ~h~~k~~PED_SPRINT~ ~w~button.
HELP42    Follow the ~q~pink blip~w~ to find the hotel.
HELP43    ~g~Goto the ~h~Ocean View~g~ hotel on Ocean Drive.
HELP44    Stop in the ~q~pink marker.
HELP45    Press the ~h~~k~~PED_DUCK~~w~ button to duck. This will increase the accuracy of guns you are holding.
HELP46    There are eight different types of weapon.
HELP47    You can carry one of each type of weapon at a time - one type of pistol, one type of shotgun.
HELP4_A   Press the ~h~~k~~VEHICLE_ACCELERATE~ ~w~button to accelerate.
HELP4_D   Push the right analog stick up to ~h~accelerate.
HELP50    Press the ~h~~k~~PED_ANSWER_PHONE~~w~ button to set the camera behind you.
HELP51    Press the ~h~~k~~PED_ANSWER_PHONE~~w~ button to set the camera behind you.
HELP52    Press the ~h~~k~~PED_ANSWER_PHONE~~w~ button to set the camera behind you.
HELP53    Press ~h~~k~~PED_CYCLE_WEAPON_LEFT~~w~ button or ~h~~k~~PED_CYCLE_WEAPON_RIGHT~~w~ button to cycle through your available weapons.
HELP54    ~w~Cost: $~1~ ~r~Buying this will replace your current weapon.
HELP55    Press the ~h~~k~~PED_FIREWEAPON~~w~ button to attack the chef.
HELP56    Press the ~h~~k~~CAMERA_CHANGE_VIEW_ALL_SITUATIONS~~w~ button to change camera modes.
HELP57    Press the ~h~~k~~CAMERA_CHANGE_VIEW_ALL_SITUATIONS~~w~ button to change camera modes.
HELP58    While targeting you can press the ~h~~k~~PED_CYCLE_TARGET_LEFT~ button or ~k~~PED_CYCLE_TARGET_RIGHT~ ~w~button to cycle through targets.
HELP59    While targeting you can press the ~h~~k~~PED_CYCLE_TARGET_LEFT~ button or ~k~~PED_CYCLE_TARGET_RIGHT~ ~w~button to cycle through targets.
HELP5_A   Press the ~h~~k~~VEHICLE_BRAKE~ ~w~button to brake, or to reverse if the vehicle has stopped.
HELP5_D   Pull the right analog stick back to brake, or to reverse if the vehicle has stopped.
HELP60    If you press the ~w~~k~~PED_SPRINT~ ~w~button while car jacking, you will not enter that vehicle.
HELP61    You now have limitless ammo and double health on all vehicles.
HELP6_A   Press the~h~ ~k~~VEHICLE_HANDBRAKE~ button ~w~to apply the vehicle's ~h~handbrake.
HELP6_C   Press the ~h~~k~~VEHICLE_HANDBRAKE~ ~w~button to apply the vehicle's handbrake.
HELP6_D   Press the~h~ ~k~~VEHICLE_HANDBRAKE~ button ~w~to apply the vehicle's ~h~handbrake.
HELP7_A   Press and hold the~h~ ~k~~PED_LOCK_TARGET~ button ~w~to ~h~target~w~ with the sniper rifle.
HELP7_D   Press and hold the~h~ ~k~~PED_LOCK_TARGET~ button ~w~to ~h~target ~w~with the sniper rifle.
HELP8_A   Press the~h~ ~k~~PED_SNIPER_ZOOM_IN~ button ~w~to ~h~zoom in ~w~with the rifle and the~h~ ~k~~PED_SNIPER_ZOOM_OUT~ button ~w~to ~h~zoom out ~w~again.
HELP8_B   Press the ~h~~k~~PED_SNIPER_ZOOM_IN~ button ~w~to ~h~zoom in ~w~with the rifle and the~h~ ~k~~PED_SNIPER_ZOOM_OUT~ button ~w~to ~h~zoom out ~w~again.
HELP9_A   Press the~h~ ~k~~PED_FIREWEAPON~ button ~w~to ~h~fire~w~ the sniper rifle.
HELP9_B   Press the~h~ ~k~~PED_FIREWEAPON~ button ~w~to ~h~fire~w~ the sniper rifle.
HELP9_C   Press the~h~ ~k~~PED_FIREWEAPON~ ~w~button to ~h~fire~w~ the sniper rifle.
HEL_DST   Planes & Helicopters destroyed
HERMES    Hermes
HEY       ~g~Don't go solo, keep your posse together!
HJSTAT    Distance: ~1~.~1~m Height: ~1~.~1~m Flips: ~1~ Rotation: ~1~_
HJSTATF   Distance: ~1~ft Height: ~1~ft Flips: ~1~ Rotation: ~1~_
HJSTATW   Distance: ~1~.~1~m Height: ~1~.~1~m Flips: ~1~ Rotation: ~1~_ And what a great landing!
HJSTAWF   Distance: ~1~ft Height: ~1~ft Flips: ~1~ Rotation: ~1~_ And what a great landing!
HJ_DIS    DOUBLE INSANE STUNT BONUS: $~1~
HJ_IS     INSANE STUNT BONUS: $~1~
HJ_PDIS   PERFECT DOUBLE INSANE STUNT BONUS: $~1~
HJ_PIS    PERFECT INSANE STUNT BONUS: $~1~
HJ_PQIS   PERFECT QUADRUPLE INSANE STUNT BONUS: $~1~
HJ_PTIS   PERFECT TRIPLE INSANE STUNT BONUS: $~1~
HJ_QIS    QUADRUPLE INSANE STUNT BONUS: $~1~
HJ_TIS    TRIPLE INSANE STUNT BONUS: $~1~
HLPSN_A   The sniper rifle allows you to zoom in and fire accurately at targets from a distance.
HLPSN_B   Press and hold the~h~ ~k~~PED_LOCK_TARGET~ ~w~button to ~h~target~w~ with the sniper rifle.
HLPSN_C   Press and hold the~h~ ~k~~PED_LOCK_TARGET~ ~w~button to ~h~target~w~ with the sniper rifle.
HLPSN_D   Press the ~h~~k~~PED_SNIPER_ZOOM_IN~~w~ button ~w~to ~h~zoom in ~w~with the rifle and the~h~ ~k~~PED_SNIPER_ZOOM_OUT~ button ~w~to ~h~zoom out ~w~again.
HLPSN_E   Press the ~h~~k~~PED_FIREWEAPON~~w~ button ~w~to ~h~fire~w~ the sniper rifle.
HLPSN_F   Press the ~h~~k~~PED_FIREWEAPON~~w~ button ~w~to ~h~fire~w~ the sniper rifle.
HLPSN_G   Press the ~h~~k~~PED_FIREWEAPON~~w~ button to ~h~fire~w~ the sniper rifle.
HORN      ~g~Sound the horn.
HORN1     Press the ~h~~k~~VEHICLE_HORN~ ~w~button to activate the ~h~horn.
HORN2     Press the ~h~~k~~VEHICLE_HORN~ ~w~button to activate the ~h~horn
HORN3     Press the ~h~~k~~VEHICLE_HORN~ ~w~button to activate the ~h~horn
HOTEL     Ocean View
HOTRINA   Hotring Racer
HOTRINB   Hotring Racer
HOTRING   Hotring Racer
HOTRNG    HOTRING
HUNTER    Hunter
HYCOBUY   Hyman Condo purchased: $~1~
HYCO_C    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase Hyman Condo for $~1~
HYCO_L    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase Hyman Condo for $~1~
HYCO_T    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase Hyman Condo for $~1~
ICC1_O    What is wrong with you??
ICEBUY    Ice Cream Factory purchased: $~1~
ICE_1     Distribution
ICE_C     Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Ice Cream Factory for $~1~
ICE_L     Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Ice Cream Factory for $~1~
ICE_NO    You cannot buy the Ice Cream Factory at this time, come back later.
ICE_T     Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Ice Cream Factory for $~1~
IDAHO     Idaho
IMPORT1   Go outside and wait for your vehicle.
IND_ZON   Vice City Beach
INFERNS   Infernus
INGRAM    Mac
INSTUN    Insane stunt
INTB_1    ~g~Go to the Lawyer's office.
INT_B     An Old Friend
IN_VEH    ~g~Hey! Get back in the vehicle!
ITBEG     In the beginning...
JAN       Jan
JOB_1     Road Kill
JOB_2     Waste the Wife
JOB_3     Autocide
JOB_4     Check Out at the Check In
JOB_5     Loose Ends
JUL       Jul
JUN       Jun
JUNKY     Junk Yard
KATANA    Katana
KAUFCAB   Kaufman Cabs
KAUFMAN   Kaufman Cab
KENT      KENT PAULS MISSIONS
KENT1     KENT PAUL MISSION1
KENT_1    Death Row
KGS_EXP   Kgs of explosives used
KICK      KICKSTART
KICK1_3   ~g~Number of times foot put down: ~1~
KICK1_4   ~g~Time penalty: ~1~ seconds
KICK1_9   CHECKPOINTS:
KNIFE     Knife
LANCE_1   Come on man, drive more careful!
LANCE_2   Hey watch what you're doin!
LANCE_3   Hey where are we goin' now?
LANCE_4   What are we doin' now?
LANDSTK   Landstalker
LASER     .308 Sniper
LAW       THE LAWYER MISSIONS
LAW1_1    ~g~Go get some new threads from Rafael's clothes shop.
LAW4_10   Rich management suck!
LAW4_11   Fight! Fight! Fight! Fight!
LAW4_12   Viva la revolution!
LAW4_15   More money!
LAW4_6    Burn the management!
LAW4_7    Kill the bosses!
LAW4_8    Fight, Fight, Fight, Fight.
LAW4_9    More Holiday, Less Work!
LAW_1     The Party
LAW_1A    law_1a
LAW_1B    law_1b
LAW_2     Back Alley Brawl
LAW_2A    law_2a
LAW_2B    law_2b
LAW_3     Jury Fury
LAW_4     Riot
LEGAL     ~g~Eliminate the criminal threat!
LG_01     Player position
LG_02     Avery Carrington
LG_03     Biker Contact
LG_04     Colonel Cortez
LG_05     Ricardo Diaz
LG_06     Kent Paul
LG_07     Lawyer
LG_08     Phil Cassidy
LG_09     Boatyard
LG_10     Malibu Club
LG_11     Cubans
LG_12     Film Studio
LG_13     Ammu-Nation
LG_14     Haitians
LG_15     Hardware Store
LG_16     Safe House
LG_17     Ice Cream
LG_18     Kaufman Cabs
LG_19     Love Fist
LG_20     Print Works
LG_21     Property
LG_22     Pay 'n' Spray
LG_23     Clothes Shop
LG_24     Tommy's Mansion
LG_25     Telephone
LG_26     Wildstyle Radio Station
LG_27     Flash FM Radio Station
LG_28     KChat Radio Station
LG_29     Fever 105 Radio Station
LG_30     VROck Radio Station
LG_31     VCPR Radio Station
LG_32     Espantoso Radio Station
LG_33     Emotion 98.3 Radio Station
LG_34     Wave 103 Radio Station
LG_35     Destination
LG_36     Sun Yard
LG_37     Strip Club
LG_38     Target
LINERUN   Linerunner
LNKVBUY   Links View Apartment purchased: $~1~
LNKV_C    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase Links View Apartment for $~1~
LNKV_L    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase Links View Apartment for $~1~
LNKV_T    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase Links View Apartment for $~1~
LOADCAR   LOADING VEHICLE... (PRESS L1 TO CANCEL)
LOADCOL   Loading...
LOVEFIS   Love Fist
M4        M4
MACHETE   Machete
MAFIACR   Mafia Cruiser
MALIBU    The Malibu Club
MALL1     North Point Mall
MANANA    Manana
MANSION   Diaz's Mansion
MAP_LEG   Map Legend
MAP_YAH   YOU ARE HERE
MAR       Mar
MARQUIS   Marquis
MAVERIC   Maverick
MAY       May
MERC_26   FASTER, FASTER, FASTER!
MERC_27   Careful, Tommy, I only have a nose job last month.
MERC_28   Tommy, drive careful.
MERC_29   Tommy, go slower.
MERC_30   Tommy, please kill someone other than me.
MERC_31   Tommy, baby, don't kill me!
MERC_32   Tommy, I'm glad you stole this car!
MERC_40   I had so much fun.
MERC_43   Adios, angel.
MERC_44   You keep working out, now, you hear.
MERC_45   Ciao, beautiful.
MERC_5    Nice car, Mr. Vercetti.
MESA      Mesa Grande
MM_1      'CONE CRAZY'
MOB12_A   Hey Tommy, it's Avery! Now listen, I got me all tied up at the moment
MOB12_B   and I have a representative of mine needs chaperoning out to the Gator Keys.
MOB12_C   I'm after some land out that way, so I'm sending someone out to sweeten the deal.
MOB12_D   Could you do me a favor and make sure he gets there ok?
MOB12_E   Yeah, sure thing Avery. Where'd you want me to pick him up?
MOB12_F   He's just finishing some business at the building site. I said you'd pick him up from there.
MOB12_G   No problem. See you later, Avery.
MOB13_A   Vercetti? VERCETTI!! Damn you man, you've got to help me!
MOB13_B   Mr. Moffat? How's family life?
MOB13_C   Damn you to hell, HELL, do hear me?!
MOB13_D   Well it was nice chatting...
MOB13_E   WAIT! Wait, Vercetti - Tommy, can I call you Tommy?
MOB13_F   We're both businessmen, yeah? You know a good deal when you hear one, ok?
MOB13_G   I don't have time to chat, get to the point.
MOB13_H   MONEY. Money is the goddamned point.
MOB13_I   I've escaped the coop again, but it's never long before they track me down - they think it's a damned game!
MOB13_J   I'm at a pay phone somewhere in this god forsaken shit hole.
MOB13_K   Get me out of here before they take me back and...and..oh go-o-od...
MOB13_L   Well, I'm busy for the next -
MOB13_M   No! Don't shit with me here, have a heart! No man should have to do such, such things.
MOB13_N   I'm on my knees here Tommy, in the dirt begging you please...
MOB13_O   I guess I could swing by that way, see if I can spot you...
MOB13_P   Oh god, they're coming. For the love of Christ hurry, hurry!
MOB15_A   Tommy, mate, it's Paul, from Kent,
MOB15_B   a couple of proper sorts have your name written all over them, down at the Malibu.
MOB15_C   What are you talking about?
MOB15_D   Sorts. Birds. You know. Girls. Tastey ones, don't think they're brasses or nothing.
MOB15_E   You gotta come check them out.
MOB16_A   Tommy, Paulo here, que pasa amigo?
MOB16_B   What do you want Paul. I don't want any fake label clothes.
MOB16_C   Very funny, mate, but you know I don't touch bent gear.
MOB16_D   Nah, I was just calling to see if I get a part in one your movies,
MOB16_E   back in England I did a lot of blue stuff, mate.
MOB16_F   I'm packing more heat than you, my son.
MOB16_G   Paul, thanks for the offer, I'll bear it in mind.
MOB16_H   Seriously, don't forget about me, after all I done for you.
MOB16_I   That's what I'm trying to forget about.
MOB19_A   Tommy V, It's KP here. Kent Paul. Word on the street is people want to rip you off.
MOB19_B   Keep your eye's peeled, my son. And remember, I didn't say nothing to you about this.
MOB21_A   Tommy, Thomas, it's Cortez. Que pasa?
MOB21_B   Things are interesting. How are you, my friend?
MOB21_C   Tommy, it is always a struggle here. Excuse the poor line, we have just had another failed coup.
MOB21_D   The people are the most demanding mistress of all.
MOB21_E   So far, we have had three revolutions and four coups since I return from Vice City.
MOB21_F   Luckily, I have been promoted each time.
MOB21_G   I wanted to ask you about Mercedes.
MOB21_H   Ok, what about her?
MOB21_I   Oh Tommy, Tommy. I, I hear these stories, all these stories - I don't know what to think.
MOB21_J   Maybe everyone is humiliating me.
MOB21_K   Maybe she thinks she can do what she likes, but Tommy, tell me, is it true?
MOB21_L   but tell me Tommy, is it true?
MOB21_M   Is what true?
MOB21_N   These stories I hear. Is she really going to be a lawyer?
MOB21_O   Oh Tommy, the shame, the shame! You know, we Cortez's are a proud family.
MOB21_P   We would never allow a daughter of ours to become a lawyer. Please tell me it isn't so. I don't think I could take it.
MOB21_Q   Oh Colonel, I can assure you Mercedes is never going to become a lawyer. Don't worry about it.
MOB21_R   Oh thank you, Tommy. Tommy, thank you. The shame would be unbearable. She is a lady, not a parasite, you know.
MOB21_S   I know, colonel.
MOB21_T   Anyway, Tommy, you must excuse me, the new minister of the interior has arrived.
MOB21_U   Many years ago, I killed his father in a failed coup so I must be polite. Good day, amigo.
MOB22_A   Tommy, you are proving very useful, my friend.
MOB22_B   Thanks, Cortez. What about my deal?
MOB22_C   Tommy, I am working tirelessly on your behalf to ensue we get to the bottom of this trench of stinking lies and deceit,
MOB22_D   you have my word on that, but in the meantime,
MOB22_E   please accept the esteemed thanks of my people for your work on our behalf.
MOB45_A   Tommy We gotta talk about stuff.
MOB45_B   What's the problem Lance?
MOB45_C   It's you, my friend, I feel you're not giving me a fair slice.
MOB45_D   And more than that, you been embarrassing me in front of the boys. I can't have that.
MOB45_E   Lance, it ain't like that. You've been making mistakes.
MOB45_F   Tommy, I'm not your message boy. I'm not your running boy.
MOB45_G   Lance, don't screw up, and we won't have any problems. I screw up, you can lay into me any time.
MOB45_H   Tommy, I've done everything for you, you treat me like a fool. Don't do that.
MOB45_I   Lance, I won't rip you off or stab you in the back, okay?
MOB45_J   Just take it easy. This is tough enough without you getting all emotional on me.
MOB45_K   Trust me. Do you hear me, do you hear me?
MOB45_L   I hear you, Tommy, but I can't take this much more.
MOB45_M   Lance, don't be like this. Now I'm warning you.
MOB45_N   Do you hear me? Just relax, take a few days off. Okay? I'll talk to you.
MOB46_A   Yo, Tommy! It's Lance.
MOB46_B   Yeah?
MOB46_C   Oh, nice to hear from you, Lance. Come on, man, be cool, be cool.
MOB46_D   I'm in the middle of something. What do you want?
MOB46_E   Nothing. Just to say, you know. Look Tommy, we can do this thing.
MOB46_F   You and me, no problem. You know what I mean?
MOB46_G   We're going to have to do it, 'cause otherwise, we're going to be dead, Lance.
MOB46_H   We're in too far now. But thanks for the call. I'll speak to you later.
MOB52_A   Hey Leo, I think we got a buyer for Diaz's merchandise.
MOB52_B   You gotta give him a ring, man, set up the deal, you know?
MOB52_C   Where are you now?
MOB52_D   You ok Leo? You sound kinda different.
MOB52_E   Just tell me where you are.
MOB52_F   Who the hell is this? Put Leo on, man!
MOB52_G   Leo's gone away for a while, he left me in charge.
MOB52_H   Screw you, man!
MOB54_A   Hiya Tommy!
MOB54_B   Hi Mercedes, howyadoin'?
MOB54_C   I got a new apartment up in Vice Point
MOB54_D   - thought you might want to drop by sometime.
MOB54_E   I'd love to. I'll catch you later.
MOB55_A   Tommy, it's me.
MOB55_B   Hi Mercedes.
MOB55_C   Tommy, I so bored, when we going to have some fun?
MOB55_D   What do you mean?
MOB55_E   Well, I know you're busy fighting and killing and corrupting people,
MOB55_F   but I just want to have some fun. So don't forget about me, you hear?
MOB56_A   Tommy, I hear you kill Ricardo Diaz.
MOB56_B   there was an unfortunate fire at his mansion.
MOB56_C   I think he burnt to death in an acrylic shirt.
MOB56_D   Tommy, I so proud of you. I knew you were a real man.
MOB56_E   He awful trouser stain of a man, you make me so proud to be your friend.
MOB56_F   No, I know you going to be busy trying to take over this town,
MOB56_G   but don't forget about me, you hear?
MOB57_A   It's merceedes. I no longer love you Tommy.
MOB57_B   I no longer do. Honest. 'cause you no longer nice to Mercedes.
MOB57_C   You no longer treat her like a lady. You ignore me and I hate you.
MOB57_D   I insist you come to see me right away!
MOB58_A   Tommy.
MOB58_B   Hey Mercedes.
MOB58_C   Hey indeed Mr. Tough Guy. I real angry with you Tommy.
MOB58_D   Never make me hang out with Jezz Torrent again.
MOB58_E   He is pathetic. Half way through he starts crying about his doggie
MOB58_F   that died when he was 7 years old and that his mommy never loved him.
MOB58_G   And Tommy. He wear a wig and a bra in private.
MOB58_H   I not very happy with you!
MOB59_A   Ooh Tommy, its Mercedes.
MOB59_B   I just want to say, I have so much fun on that film set.
MOB59_C   Anything else you have like that, you let me know.
MOB59_D   I really mean that. I always wanted to be an actress.
MOB59_E   I think I learn a lot about the dramatic process.
MOB59_F   It so enlightening! Thank you. Thank you. I see you real soon. Adios.
MOB_01A   Awright me ol'china! It's Paul. I might have a little result for you, but I need to speak to you in person.
MOB_01B   I'm enjoying a little R&R at the Club Malibu.
MOB_01C   Reckon you're gonna owe me a favor or two after this, sunshine. I'll see you later.
MOB_02A   Ssssnniiiiffffff Hey! Hello, Tommy? Tommy!
MOB_02B   We got a situation over at the Print Works. You better go and check it out.
MOB_02C   Some kind of mess or other. Things are messed up. I gotta go.
MOB_03A   Mr. Vercetti? I have here a signed piece of crap stating
MOB_03B   that you have taken on all of BJ's Auto's debts.
MOB_03C   With BJ's sudden disappearance I have no choice
MOB_03D   but to hold you responsible for his financial insecurities.
MOB_03E   Until this account is settled in full
MOB_03F   you should consider Vice City's streets to be very unfriendly.
MOB_04A   How you doin' mate? It's Paulo again.
MOB_04B   Look Tommy, I forgot to mention we're going to need some extra muscle for the concert. A bit of security.
MOB_04C   There's a biker gang led by Mitch Baker, it would be great publicity. Very rock and roll, baby.
MOB_04D   Sort this out for me and I'll get you some back stage passes for the gig, awright?
MOB_05A   Hey, it's Mitch. You did good Tommy, it's good to have the old girl back.
MOB_05B   You tell Kent Paul he'll get his security for the gig.
MOB_05C   You have my word on that.
MOB_05D   Now keep yourself out of trouble.
MOB_06A   Tommy, 'nuf dead man been chattin' about you, my dear.
MOB_06B   Thought you might need something to make you feel better. So Auntie Poulet make you some stew, aye?
MOB_06C   Come by me kitchen some time, ok Tommy?
MOB_08A   Hey Tommy, I thought you might need some business advice.
MOB_08B   Once you got an operation up and running, you'll need to drop by and take the week's cash.
MOB_08C   Let the guys think they got the run of the place and they'll try shaving the profits - ok?
MOB_08D   Hey, I know how to handle business, Ken, ok?
MOB_08E   Ok, ok. I know, you know. I know. I was,
MOB_08F   I was just, you know, telling you I know, that you know, that I know.
MOB_08G   Just keeping it sharp baby!
MOB_08H   Whatever, Ken, whatever...
MOB_09A   Hey Leo! I got some work for you!
MOB_09B   This ain't Leo.
MOB_09C   Hey, if Leo knows you got his phone, he gonna kill you!
MOB_09D   Maybe Leo's already dead. Maybe I killed Leo and took his phone - you think of that prick?
MOB_09E   You killed Leo? You must have big cojones - wanna work for me?!
MOB_09F   Drop by my father's cafe in Little Havana and we'll talk mano a mano.
MOB_10A   Tommy! Look, I gotta ask you a favor.
MOB_10B   Steve! How's filming going!
MOB_10C   Fine, fine. I, heh, WE need a car chase scene, but our budget can't stretch to it.
MOB_10D   I've left some wheels around town. You'll know what to do.
MOB_10E   Ok Steve, I'll keep an eye out. Catch you later.
MOB_11A   Howdy son, just thought I'd ring you up and give you some advice.
MOB_11B   Hey, Avery. What's eating you?
MOB_11C   There's a lot of opportunity in this town if you own the right real estate, you catch my drift?
MOB_11D   I reckon so...
MOB_11E   All I'm saying is keep your eyes open and you might find the perfect business opportunity. I'll catch y'later.
MOB_11F   Later, Avery.
MOB_14A   Hey there Tommy, you're gonna love me mate.
MOB_14B   A little birdy told me that Vice City SWAT Division has a deposit box at a certain rather large banking establishment,
MOB_14C   where they keep all the bribes they've taken over the years,
MOB_14D   like some kind of old boys' retirement fund.
MOB_14E   Of course, if this information should ever help you acquire any of that cash,
MOB_14F   I guess you'd feel obliged to push some of it my way?
MOB_14G   I'll bear that in mind, thanks Kent.
MOB_14H   It's Paul. I'm from Kent, near London, you prat.
MOB_14I   My provincial English geography ain't what it was.
MOB_16A   Tommy, Paulo here, que pasa amigo?
MOB_16B   What do you want Paul? I don't want any fake label clothes.
MOB_16C   Very funny, mate, but you know I don't touch bent gear. Nah, I was just calling to see if I get a part in one your movies.
MOB_16D   Back in England I did a lot of blue stuff, mate. I'm packing more heat than you, my son.
MOB_16E   Paul, thanks for the offer, I'll bear it in mind.
MOB_16F   Seriously, don't forget about me, after all I done for you.
MOB_16G   That's what I'm trying to forget about.
MOB_17A   Tommy Vercetti, how's it going, Mr. big shot? I hear all these things about you, some kind of player in town, now eh...
MOB_17B   Paul, you're drunk.
MOB_17C   Nah, you stupid prat, I ain't drunk. I only had a couple and some treats, ain't been to bed for a couple of days, you know.
MOB_17D   Anyway, don't give me that. I ain't a mug. Who set you up in this town? Who? Me. That's who.
MOB_17F   Really?
MOB_17G   Don't give me that. Don't! I introduced you to people. I showed you the ropes, did a lot of stuff for you, and this is how you repay me.
MOB_17H   You ignore me. You won't give me a way in, after all I did for you! What do you think I am? A div or something?
MOB_17I   Paul, take it easy. I've been busy, don't be an idiot.
MOB_17J   I ain't no idiot, mush. That's what they said in borstal. Are you asking for trouble son, because you're going to get it!
MOB_17K   Tommy, mate. Please. You was my big hope! Please, don't laugh at me!
MOB_17L   Paul, get some sleep, seriously.
MOB_18A   Tommy, it's Paulo, how are you? Right mate, anyway, thought I had to drop you a line.
MOB_18B   Oh my good lord, my son, you will not believe the quality of the brass I just encountered.
MOB_18C   Street walker or something, just down in Little Havana, mate.
MOB_18D   Said her name was Mercedes or something.
MOB_18E   Oh my god, mate. You gotta check this bird out.
MOB_18F   Could strip the lead out of a pencil. Said I was the best she ever had and all.
MOB_18G   Keep you potatoes skinned for her. Be seeing you.
MOB_20A   Alright, Tommy, it's Paul. I just heard from a mush that you've been a real naughty boy.
MOB_20B   Somebody has taken offense to you acting like the big guy all of a sudden, giving it the big shot thing.
MOB_20C   Well, don't say I never warned you or nothing. Boasting is a mug's game, son.
MOB_20D   Anyway, I heard there's some price been put on your head and someone's going to have a crack at you,
MOB_20E   so watch yourself, and remember me, mate.
MOB_24A   Hola, is this Mr. Vercetti?
MOB_24B   Yeah.
MOB_24C   This is Cortez. You were at my party.
MOB_24D   Yeah. I remember.
MOB_24E   Mr. Vercetti, it was a most unfortunate incident that happened with your business deal.
MOB_24F   I know.
MOB_24G   I want you to know me and my people are doing their utmost to get to the bottom of it.
MOB_24H   If you'd like to talk to me more privately, you can find me at the boat, eh? Okay? Good day, senor.
MOB_25A   Tommy, Thomas it's Cortez. Look, the French are giving me all kinds of trouble, amigo.
MOB_25B   Damn hypocrites. They spend a hundred years stealing from poor countries and they call me a thief!
MOB_25C   I am going to need your help as soon as possible, amigo.
MOB_25D   So please hurry, Tommy, I need you, all right? I hate the damn French.
MOB_26A   Hello, Tommy?
MOB_26B   Yeah?
MOB_26C   It's Baker. I just wanted to say I really enjoyed the show.
MOB_26D   Me and the boys want to thank you, and remind you,
MOB_26E   you got our respect. Good day. Keep riding hard, son.
MOB_29A   Hello, is this Mr. Tommy Vercetti?
MOB_29B   Yes.
MOB_29C   Well, I hear through the vine of grapes you the man when someone got a vermin infestation.
MOB_29D   Maybe...
MOB_29E   Well, I got a real vermin infestation. Haitians everywhere.
MOB_29F   My name is Umberto Robina and I want you to meet me at the Cafe Robina as soon as you can,
MOB_29G   'cause I tell you, these damn Haitians gone too far this time.
MOB_29H   Test
MOB_30A   Tommy, is Umberto Robina
MOB_30B   Hey, how's the cafe?
MOB_30C   Oh, wonderful. Incredible. Tommy, incredible. No wimps, Tommy, just real men, and the beautiful women!
MOB_30D   Anyway, I wanted to tell you, me and Papi, to us, you Cuban.
MOB_30E   You have proved yourself, man. You got big cojones.
